context,response,text,label
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Ok bye bye,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Alright bye,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",bye botface,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",see you later bot,goodbye
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Thanks,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Thank you,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",thanks,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",many thanks,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",thank you again,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",thanks,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",thank you,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",That's helpful,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']","Awesome, thanks",thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Thanks for helping me,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Thanks a lot!,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Thank you so much,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']","I appreciate your help, thanks",thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Many thanks,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Grateful for your help,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Cool that's helpful,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Much appreciated,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",I appreciate your help,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']","Ok, thanks!",thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']","Alright, much appreciated",thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']","cool, thanks!",thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",thank you very much!,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']",Thanks!,thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']","That's really helpful, much appreciated",thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']","you are the best, thanks",thanks
[''],"['Happy to help!', 'Any time!', 'My pleasure', 'No problem!', 'Cheers']","Alright, thanks a lot",thanks
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",How can help me?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",What you can do?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",What help do you provide?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",How you can be helpful?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",What support is offered?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",What are your services?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",Tell me stuff,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",Why do you exist?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",What is your purpose?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']","Help me, what can you do?",options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",How can you help me?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",What do you do?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",What is it that you do here?,options
[''],"['I can provide you with flights and hotel information', 'I can help you look up information on flight and or hotels prices based on the date and location you provide to me']",What is the meaning of your existence?,options
[''],[''],one way flight prices to Athens,SearchFlight
[''],[''],one-way flight to Santa Clara,SearchFlight
[''],[''],How much is a one-way ticket from Montreal to Tokyo if I leave on March 5 and return on March 10?,SearchFlight
[''],[''],looking for one way ticket to taipei,SearchFlight
[''],[''],how much is one way flight to Seoul?,SearchFlight
[''],[''],what is the price of one way flight to taipei?,SearchFlight
[''],[''],what is the price of a direct one-way flight to Detroit?,SearchFlight
[''],[''],need one way flight to Paris,SearchFlight
[''],[''],looking for direct one-way flight to london,SearchFlight
[''],[''],What is the price of a one-way ticket from Dubai to Paris if I leave on May 24?,SearchFlight
[''],[''],Tell me about one way flights from Frankfurt to London?,SearchFlight
[''],[''],One way from London to Toronto?,SearchFlight
[''],[''],One way from Dubai to London,SearchFlight
[''],[''],One way trip from Frankfurt to Paris?,SearchFlight
[''],[''],Going to Shanghai,SearchFlight
[''],[''],Want to go to Seoul,SearchFlight
[''],[''],One way to Jakarta,SearchFlight
[''],[''],One way to Hanoi from Hong Kong,SearchFlight
[''],[''],One-way flight to Dubai,SearchFlight
[''],[''],Is there a one way trip to Bordeaux?,SearchFlight
[''],[''],Can I info for one-way trip from Dublin to Porto?,SearchFlight
[''],[''],Want to go to Madrid,SearchFlight
[''],[''],"From Madrid to Vienna, one-way flight",SearchFlight
[''],[''],Find me the price for one way trip from Hanover to Basel,SearchFlight
[''],[''],Searching for one-way from Hanover to Toronto,SearchFlight
[''],[''],Give me the price for a trip from Hanover to Basel,SearchFlight
[''],[''],Are there flights from London to Madrid?,SearchFlight
[''],[''],Looking for one-way flight from London to Hong Kong,SearchFlight
[''],[''],One-way flight to Edinburgh,SearchFlight
[''],[''],Looking for one way flights between Toronto and London,SearchFlight
[''],[''],Help search one way flight from London to Hong Kong,SearchFlight
[''],[''],One way trip from Athens to Frankfurt.,SearchFlight
[''],[''],What is the price of a round trip from Toronto to New York City if I leave on Feb 2 and coming back on Feb 5?,SearchFlight
[''],[''],search for round trip to Hong Kong,SearchFlight
[''],[''],i will need a roundtrip flight to San Jose,SearchFlight
[''],[''],need a roundtrip ticket to Hawaii,SearchFlight
[''],[''],looking for round trip flight to London,SearchFlight
[''],[''],i need a roundtrip info between vancouver and toronto,SearchFlight
[''],[''],Round trip from Montreal to Vancouver?,SearchFlight
[''],[''],Round-trip from Toronto to San Francisco,SearchFlight
[''],[''],Price for roundtrip from Toronto to New York City if I leave on Feb 2 and coming back on Feb 5?,SearchFlight
[''],[''],Round trip from Montreal to Vancouver?,SearchFlight
[''],[''],Price for trip from San Jose to New York City leaving on Feb 2 and returning on Feb 5?,SearchFlight
[''],[''],Flight from San Jose to New York City leaving on Feb 2 and returning on Feb 5?,SearchFlight
[''],[''],Roundtrip flight between San Jose and New York City leaving on Feb 2 and returning on Feb 5?,SearchFlight
[''],[''],Price for roundtrip flight going from Toronto to Hong Kong leaving on Feb 2 and returning on Feb 25?,SearchFlight
[''],[''],Round trip flight between Arizona and New Jersey leaving on May 6 and returning on May 10?,SearchFlight
[''],[''],Round-trip from Toronto to San Francisco,SearchFlight
[''],[''],"Osaka to Toronto, leaving Dec 1 and returning on Jan 12",SearchFlight
[''],[''],Shanghai to Toronto round trip,SearchFlight
[''],[''],I want to know the roundtrip price between Turin and Moscow,SearchFlight
[''],[''],What is the price for roundtrip going from Toronto to Shanghai?,SearchFlight
[''],[''],"roundtrip from San Francisco to Toronto, leaving Oct 24 returning on Nov 30",SearchFlight
[''],[''],looking for round-trip info for Baltimore and San Francisco,SearchFlight
[''],[''],I am looking a roundtrip price for flights between Hong Kong and Seoul,SearchFlight
[''],[''],Find me roundtrip price between Toronto and Hong Kong between Jan 14 and Feb 28,SearchFlight
[''],[''],Roundtrip tickets from Toronto to Vancourver,SearchFlight
[''],[''],Looking for roundtrip from Ottawa to Detroit,SearchFlight
[''],[''],Help with look for round trip prices from Paris to London.,SearchFlight
[''],[''],Looking for roundtrip price from Paris to Monaco,SearchFlight
[''],[''],Help me look for round trip flight from Detroit to Las Vegas,SearchFlight
[''],[''],Want to know price of round trip from Ottawa to Calgary,SearchFlight
[''],[''],What hotels are available in Boston on Feb 2?,SearchHotelPrice
[''],[''],any hotels in Johannesburg?,SearchHotelPrice
[''],[''],looking for hotels in Houston,SearchHotelPrice
[''],[''],hotel bookings in Paris,SearchHotelPrice
[''],[''],hotel bookings in Vienna,SearchHotelPrice
[''],[''],Need hotels in Athens,SearchHotelPrice
[''],[''],hotels available in tokyo,SearchHotelPrice
[''],[''],hotel prices in Dubai,SearchHotelPrice
[''],[''],hotels in Los Angeles,SearchHotelPrice
[''],[''],i need a hotel in boston,SearchHotelPrice
[''],[''],find me some hotels in toronto,SearchHotelPrice
[''],[''],i need you to find me some hotels in tokyo,SearchHotelPrice
[''],[''],I want to see some available hotels in Vancouver on June 1,SearchHotelPrice
[''],[''],Could you tell me some hotels that are available in Dubai on Dec. 25?,SearchHotelPrice
[''],[''],What are some hotels in San Francisco that are available on Nov 26?,SearchHotelPrice
[''],[''],Tell me about hotels in Chicago that are available on July 13?,SearchHotelPrice
[''],[''],Hotels in Toronto?,SearchHotelPrice
[''],[''],Hotels available in Washington D.C.?,SearchHotelPrice
[''],[''],Available hotels in Calgary?,SearchHotelPrice
[''],[''],Want to know hotels in Las Vegas on Jan 14,SearchHotelPrice
[''],[''],Hotels in Montreal on March 4?,SearchHotelPrice
[''],[''],Can you tell me what hotels are available in Tokyo?,SearchHotelPrice
[''],[''],What hotels are available in San Francisco?,SearchHotelPrice
[''],[''],Available hotels in Baltimore?,SearchHotelPrice
[''],[''],Want to know some hotels in Paris?,SearchHotelPrice
[''],[''],Available hotels in Venice?,SearchHotelPrice
[''],[''],What hotels are there in Hong Kong?,SearchHotelPrice
[''],[''],Edmonton hotel available?,SearchHotelPrice
[''],[''],Hotels around Buffalo?,SearchHotelPrice
[''],[''],Give me some hotels in Dallas,SearchHotelPrice
[''],[''],Hotels around Atlanta?,SearchHotelPrice
[''],[''],List me some available hotels in Miami,SearchHotelPrice
[''],[''],Tell me some hotel prices in Memphis,SearchHotelPrice
[''],[''],Hotels in Memphis that are available,SearchHotelPrice
[''],[''],Hotels in Tokyo,SearchHotelPrice
[''],[''],"Will be staying Vienna for a few days, what are some hotels that are available?",SearchHotelPrice
[''],[''],"Going on a trip to Dubai, what are some hotels there?",SearchHotelPrice
[''],[''],Need to look for hotels in Osaka,SearchHotelPrice
[''],[''],Help me look for hotels in Paris,SearchHotelPrice
